Drug Name,Manufacturer,Strength,Form,Indication,Side Effects,Available In,Age Restriction,Prescription Required,Price
Neosporin Ointment,GSK,5000 IU Bacitracin + 3.5 mg Neomycin  ,Ointment,Infected cuts/allergy,"Allergy, itching",All cities,All ages,No,125.0
Metrogyl Gel,Abbott,2% Metronidazole  ,Gel,"Acne, rosacea","Burning, itching",All cities,12+,Yes,140.0
Daktarin Gel,Janssen Pharma,2% Miconazole Nitrate  ,Gel,Fungal infections,Stinging,All cities,All ages,No,130.0
Betnovate-N Gel,GSK,0.1% Betamethasone + 0.5% Neomycin  ,Gel,"Eczema, psoriasis",Skin thinning,All cities,12+,Yes,250.0
Refresh Eye Gel,Allergan,0.3% Carboxymethylcellulose  ,Tablet,"Eye dryness, strain","Burning, blurred vision",All cities,5+,No,180.0
Zytee Gel,Shield,8% Choline Salicylate + 2% Lidocaine  ,Gel,"Mouth ulcers, gum pain","Burning, numbness",All cities,5+,No,170.0
Polyfax Skin Ointment,GlaxoSmithKline,500 IU Polymyxin B + 5 mg Bacitracin  ,Ointment (Blue),Bacterial skin infections,"Itching, redness",All cities,All ages,Yes,160.0
Polyfax Eye Ointment,GlaxoSmithKline,500 IU Polymyxin B + 5 mg Bacitracin  ,Ophthalmic Ointment,Bacterial eye infections,Temporary blurred vision,All cities,All ages,Yes,120.0
Bactroban,Mupri Pharma,2% Mupirocin  ,Gel,Bacterial skin infections,"Itching, burning",All cities,All ages,Yes,110.0
Soframycin,Franco-Indian Pharma,1% Framycetin  ,Gel,"Wound healing, cuts","Allergy, redness",All cities,All ages,No,190.0
Dermovate,Novo Nordisk,0.05% Clobetasol Propionate  ,Gel,"Severe eczema, psoriasis","Skin thinning, redness",All cities,12+,Yes,60.0
Lamisil Gel,NOVARTIS,1% Terbinafine  ,Gel,Fungal infections,"Peeling, dryness",All cities,12+,Yes,100.0
Canesten,Bayer,1% Clotrimazole  ,Gel,Vaginal/skin fungal infections,Irritation,All cities,12+,No,130.0
Finac Gel,Hilton Pharma,0.1% Tretinoin  ,Tablet,Male pattern hair loss,"Itching, dry scalp",All cities,18+,Yes,250.0
Zindaclin Gel,GSK,1% Clindamycin  ,Gel,Acne vulgaris,"Dry skin, peeling",All cities,12+,Yes,180.0
Retin-A Gel,Janssen,0.025% Tretinoin  ,Gel,"Acne, anti-aging","Redness, peeling",All cities,12+,Yes,170.0
Emla Gel,AstraZeneca,2.5% Lidocaine + 2.5% Prilocaine  ,Tablet,Skin numbing for procedures,"Burning, numbness",All cities,12+,Yes,160.0
Voveran Emulgel,Novartis,1.16% Diclofenac Diethylamine  ,Gel,Joint/muscle inflammation,Skin irritation,All cities,12+,No,120.0
Terbinafine Gel,Sami Pharma,1% Terbinafine  ,Gel,Skin fungal infection,"Rash, dryness",All cities,12+,Yes,110.0
Aczone Gel,Ali Gohar Pharma,5% Dapsone  ,Gel,Acne vulgaris,"Itching, burning",All cities,12+,Yes,190.0
Aloe Vera Gel,Pure Leaf,N/A  ,Gel,"Skin moisturizing, sunburn",No major side effects,All cities,All ages,No,60.0
Candid-B Cream,Glenmark,1% Clotrimazole + 0.05% Beclomethasone,Gel (Clotrimazole + Beclomethasone),Fungal infections & inflammation,"Skin thinning, irritation",All cities,12+,Yes,100.0
